ssyk96,ssyk96_occ_title,tot_earnings_1962,tot_earnings_1963,tot_earnings_1964,tot_earnings_1965,tot_earnings_1966,tot_earnings_1967,tot_earnings_1968,tot_earnings_1969,tot_earnings_1970,tot_earnings_1971,tot_earnings_1972,tot_earnings_1973,tot_earnings_1974,tot_earnings_1975,obs_1962,obs_1963,obs_1964,obs_1965,obs_1966,obs_1967,obs_1968,obs_1969,obs_1970,obs_1971,obs_1972,obs_1973,obs_1974,obs_1975,log_ratio,sum_reasoning_ability,sum_knowledge,share_emp_1962,share_emp_1975,share_earn_1962,share_earn_1975,d_share_emp,d_share_earn,d_share_emp_t,d_share_earn_t,sector,x_plot,y_plot
2444,"Philologists, translators and interpreters",43941,38631,47364,40080,46058,44342,77463,51053,58556,33001,52417,56644,80487,67645,22,20,18,21,18,20,28,22,23,19,36,37,44,46,0.175431039612568,0.611879572677242,0.508204034518052,0.0004949715391365,0.000812132554156883,0.000326591053862305,0.000335639005510632,0.000317161015020383,9.04795164832686e-06,0.110553741640937,0.00316677249093417,"",,
2451,"Authors, journalists and related professionals",1029045,874395,1017821,1108262,1154784,1201680,1246707,1244005,1449365,1531706,1727476,1598931,1724309,1391401,296,275,312,358,345,361,328,353,404,405,455,434,447,383,0.417183291084564,0.71897353110848,0.472506207385335,0.00665961707201836,0.00676188626613231,0.00764836692432435,0.00690381325902135,0.000102269194113948,-0.000744553665302995,0.0357789428526567,-0.254924162844656,"",,
2452,"Sculptors, painters and related artists",1473,9637,7985,4862,17636,1375,5166,3272,12451,2590,1378,15114,15688,8820,4,5,6,6,6,3,6,3,6,5,4,11,9,10,0.326293909707021,0.56035529406399,0.404464007247684,8.99948252975454e-05,0.000176550555251496,1.09480581311116e-05,4.3762821030435e-05,8.65557299539509e-05,3.28147628993234e-05,0.0302852429183646,0.0114846620555277,"",,
2453,"Composers, musicians and singers",138987,184682,224311,151443,147317,227823,211702,197463,211084,209449,195151,211417,200516,204273,47,78,81,56,56,73,70,65,75,73,79,90,79,81,0.177282594575512,0.517993065874195,0.433325453644919,0.00105743919724616,0.00143005949753712,0.0010330195217032,0.00101355586625284,0.000372620300290962,-1.9463655450358e-05,0.129685155330022,-0.006812174031067,"",,
2454,Choreographers and dancers,10572,13965,19485,13579,3991,4224,22013,15659,6411,19008,0,14057,11656,9501,4,4,8,5,4,2,7,4,2,7,0,4,4,4,0.167116747840068,0.498843574161603,0.417546457144026,8.99948252975454e-05,7.06202221005985e-05,7.85762868717665e-05,4.71417871440094e-05,-1.93746031969469e-05,-3.14344997277571e-05,-0.00678100718213029,-0.0110016310191753,"",,
2455,"Film, stage and related actors and directors",106261,52667,66212,67211,31834,70924,73790,73186,83680,92569,123638,107138,133771,102849,39,27,35,29,22,30,29,34,35,47,46,36,50,40,0.263388193540969,0.602387551358654,0.462253127101036,0.000877449546651068,0.000706202221005985,0.000789783845940294,0.000510313195029389,-0.000171247325645083,-0.000279470650910905,-0.0598649464078568,-0.0975045518133089,"",,
2456,Designers,263218,266542,383056,361810,396714,448426,375597,402514,406427,578514,716968,756998,831328,681478,86,100,122,118,138,134,122,131,134,170,193,192,213,199,0.285086067359343,0.571788225328251,0.430384997233757,0.00193488874389723,0.00351335604950478,0.00195636521734891,0.00338133784015633,0.00157846730560755,0.00142497262280742,0.504732649641168,0.46263943577754,"",,
2460,Religious professionals,180596,164444,171627,171455,193629,178891,206659,147070,144953,189062,174788,130676,129711,109577,58,55,53,53,59,55,59,41,44,53,44,34,36,26,0.29418576623534,0.665179190751445,0.495603549950371,0.00130492496681441,0.00045903144365389,0.00134227800831381,0.000543695990935598,-0.000845893523160518,-0.000798582017378207,-0.287840720195807,-0.272548430606089,"",,
2470,Public service administrative professionals,1406825,1308830,1295741,1285247,1626429,2010855,1868662,1813126,1825920,1991161,2158793,2369027,2396931,2078352,456,428,439,418,511,590,512,492,470,498,539,559,610,531,0.355272649956939,0.698614848796658,0.489348296914748,0.0102594100839202,0.00937483448385445,0.0104562130891386,0.0103123068723636,-0.000884575600065723,-0.000143906216775,-0.300242030879818,-0.0503246492190597,Teaching and public administration,0.53,0.73
2480,Administrative professionals of special-interest organisations,369990,385869,401148,363677,391477,420858,302687,444344,363854,355615,409592,430362,304380,453233,102,102,110,99,100,105,81,109,85,90,93,95,76,101,0.364400597187006,0.709537296120479,0.49256922122466,0.00229486804508741,0.00178316060804011,0.00274994706580447,0.00224883839728879,-0.000511707437047295,-0.000501108668515681,-0.177218723969802,-0.173622145188094,"",,
2491,Psychologists and related professionals,107774,126825,158095,137487,126324,153969,150927,157734,184758,225388,225097,255379,219597,240346,37,46,54,46,40,52,47,48,54,69,66,69,69,73,0.44206584632589,0.71399203740815,0.458247661383373,0.000832452134002295,0.00128881905333592,0.000801029203681211,0.00119254183485045,0.000456366919333628,0.000391512631169235,0.158390451603749,0.136181285902484,"",,
2492,Social work professionals,292213,300682,313473,282044,296709,326679,298615,335967,329968,358334,376109,348215,370493,342053,113,121,124,113,115,120,107,110,112,121,118,113,121,113,0.328368399853276,0.665308447798149,0.479201755692872,0.00254235381465566,0.00199502127434191,0.00217187027200714,0.0016971886872929,-0.00054733254031375,-0.000474681584714242,-0.189273323900107,-0.16463479473212,"",,
3111,Chemical and physical science technicians,285694,237935,288285,279678,355704,411500,343478,321129,362953,386111,383746,468381,383464,542455,97,77,93,90,114,126,100,100,112,111,100,129,98,149,0.470873334090079,0.69014918816632,0.436148885581447,0.00218237451346548,0.00263060327324729,0.00212341786809899,0.00269153753764905,0.000448228759781818,0.000568119669550066,0.155611732798009,0.196281739498807,"",,
